Date,Low,Open,Volume,High,Close,Adjusted Close
6-4-81,0.143415004,0.143415004,56067200,0.143972993,0.143415004,0.112103052
6-5-81,0.141183004,0.141740993,57680000,0.141740993,0.141183004,0.110358387
6-8-81,0.136161,0.136719003,93497600,0.136719003,0.136161,0.10643281
6-9-81,0.138951004,0.138951004,119593600,0.139509007,0.138951004,0.108613655
6-10-81,0.140625,0.140625,25222400,0.142298996,0.140625,0.1099222
6-11-81,0.146762997,0.146762997,38976000,0.147321001,0.146762997,0.114720009
6-12-81,0.145089,0.145647004,25804800,0.145647004,0.145089,0.113411531
6-15-81,0.144530997,0.145089,143763200,0.145089,0.144530997,0.112975404
6-16-81,0.141740993,0.142298996,37251200,0.142298996,0.141740993,0.110794529
6-17-81,0.139509007,0.140066996,27574400,0.140066996,0.139509007,0.109049857
6-18-81,0.138951004,0.139509007,23049600,0.140066996,0.138951004,0.108613655
6-19-81,0.135045007,0.135602996,27507200,0.135602996,0.135045007,0.105560474
6-22-81,0.130022004,0.130579993,10841600,0.130579993,0.130022004,0.101634137
6-23-81,0.132254004,0.132254004,15030400,0.133370996,0.132254004,0.10337881
6-24-81,0.128905997,0.130022004,23027200,0.130022004,0.128905997,0.100761823
6-25-81,0.131696001,0.131696001,24259200,0.132254004,0.131696001,0.10294266
6-26-81,0.130022004,0.131137997,23788800,0.131137997,0.130022004,0.101634137
6-29-81,0.125558004,0.126673996,10595200,0.126673996,0.125558004,0.098144792
6-30-81,0.116071001,0.116628997,35907200,0.116628997,0.116071001,0.090729088
7-1-81,0.114955001,0.115512997,170464000,0.115512997,0.114955001,0.089856751
7-2-81,0.114955001,0.114955001,30284800,0.115512997,0.114955001,0.089856751
7-6-81,0.111048996,0.112164997,16531200,0.112164997,0.111048996,0.086803555
7-7-81,0.112164997,0.112164997,15836800,0.113280997,0.112164997,0.087675877
7-8-81,0.116628997,0.116628997,16620800,0.117187999,0.116628997,0.091165267
7-9-81,0.107701004,0.108259,32883200,0.108259,0.107701004,0.084186532
7-10-81,0.099330001,0.099887997,55171200,0.099887997,0.099330001,0.077643149
7-13-81,0.101562999,0.101562999,45740800,0.102121003,0.101562999,0.079388626
7-14-81,0.106027,0.106027,19779200,0.107143,0.106027,0.082878008
7-15-81,0.108817004,0.108817004,10953600,0.109375,0.108817004,0.085058883
7-16-81,0.111607,0.111607,15232000,0.112723,0.111607,0.087239705
7-17-81,0.115512997,0.115512997,19824000,0.116071001,0.115512997,0.090292901
7-20-81,0.107701004,0.108259,23654400,0.108259,0.107701004,0.084186532
7-21-81,0.107143,0.107701004,31942400,0.107701004,0.107143,0.083750352
7-22-81,0.101003997,0.102121003,22668800,0.102121003,0.101003997,0.078951694
7-23-81,0.103794999,0.103794999,34451200,0.104353003,0.103794999,0.081133313
7-24-81,0.107143,0.107143,28851200,0.107701004,0.107143,0.083750352
7-27-81,0.111607,0.111607,17337600,0.112164997,0.111607,0.087239705
7-28-81,0.107701004,0.108259,22848000,0.108259,0.107701004,0.084186532
7-29-81,0.106027,0.106585003,15500800,0.106585003,0.106027,0.082878008
7-30-81,0.109932996,0.109932996,9900800,0.111048996,0.109932996,0.085931182
7-31-81,0.111607,0.111607,10953600,0.112164997,0.111607,0.087239705
8-3-81,0.110491,0.111607,12432000,0.111607,0.110491,0.086367399
8-4-81,0.112164997,0.112164997,31673600,0.112723,0.112164997,0.087675877
8-5-81,0.115512997,0.115512997,17494400,0.116071001,0.115512997,0.090292901
8-6-81,0.112723,0.113280997,10528000,0.113280997,0.112723,0.088112094
8-7-81,0.112723,0.112723,9206400,0.113280997,0.112723,0.088112094
8-10-81,0.112723,0.112723,0,0.112723,0.112723,0.088112094
8-11-81,0.109375,0.110491,71456000,0.110491,0.109375,0.085495032
8-12-81,0.107143,0.107701004,26275200,0.107701004,0.107143,0.083750352
8-13-81,0.103794999,0.104353003,27484800,0.104353003,0.103794999,0.081133313
8-14-81,0.102121003,0.103237003,24192000,0.103237003,0.102121003,0.079824828
8-17-81,0.098771997,0.099887997,18905600,0.099887997,0.098771997,0.077206992
8-18-81,0.096539997,0.097655997,17001600,0.097655997,0.096539997,0.075462326
8-19-81,0.095423996,0.096539997,20675200,0.096539997,0.095423996,0.074589968
8-20-81,0.096539997,0.096539997,17113600,0.097098,0.096539997,0.075462326
8-21-81,0.089844003,0.090960003,41910400,0.090960003,0.089844003,0.070228279
8-24-81,0.084262997,0.084821001,23072000,0.084821001,0.084262997,0.065865748
8-25-81,0.086496003,0.086496003,40700800,0.087053999,0.086496003,0.067611225
8-26-81,0.084821001,0.085378997,33600000,0.085378997,0.084821001,0.066301942
8-27-81,0.085378997,0.085378997,25916800,0.085937999,0.085378997,0.066738099
8-28-81,0.089844003,0.089844003,38035200,0.090402,0.089844003,0.070228279
8-31-81,0.089844003,0.089844003,40947200,0.090402,0.089844003,0.070228279
9-1-81,0.095423996,0.095423996,37027200,0.095982,0.095423996,0.074589968
9-2-81,0.097098,0.097098,19376000,0.097655997,0.097098,0.075898483
9-3-81,0.092076004,0.093192004,37475200,0.093192004,0.092076004,0.071972944
9-4-81,0.090960003,0.091518,15254400,0.091518,0.090960003,0.071100615
9-8-81,0.088169999,0.088728003,25446400,0.088728003,0.088169999,0.068919718
9-9-81,0.088169999,0.088169999,30531200,0.088728003,0.088169999,0.068919718
9-10-81,0.088728003,0.088728003,34809600,0.089286,0.088728003,0.06935589
9-11-81,0.087612003,0.088169999,17539200,0.088169999,0.087612003,0.068483576
9-14-81,0.084821001,0.085378997,27686400,0.085378997,0.084821001,0.066301942
9-15-81,0.082589,0.083146997,19510400,0.083146997,0.082589,0.064557232
9-16-81,0.080914997,0.081473,19353600,0.081473,0.080914997,0.063248709
9-17-81,0.078682996,0.079241,19376000,0.079241,0.078682996,0.061504032
9-18-81,0.079241,0.079241,26320000,0.079798996,0.079241,0.061940208
9-21-81,0.079798996,0.079798996,49033600,0.080357,0.079798996,0.062376406
9-22-81,0.075335003,0.075893,47420800,0.075893,0.075335003,0.058887035
9-23-81,0.073661,0.074777,28201600,0.074777,0.073661,0.057578534
